ensembl_id,gene_symbol,ncbi_id
Unknown,n-TIaat17,NCBI:102467328
Unknown,n-TLaag3,NCBI:102467329
Unknown,n-TLaag6,NCBI:102467330
Unknown,n-TLaag7,NCBI:102467331
Unknown,n-TLcaa4,NCBI:102467332
Unknown,n-TLcaa3,NCBI:102467333
Unknown,n-TLcag2,NCBI:102467334
Unknown,n-TLcag4,NCBI:102467335
Unknown,n-TLcag6,NCBI:102467336
Unknown,n-TLcag9,NCBI:102467337
Unknown,n-TLtaa1,NCBI:102467338
Unknown,n-TLtaa3,NCBI:102467339
Unknown,n-TLtag2,NCBI:102467340
Unknown,n-TKctt3,NCBI:102467341
Unknown,n-TKctt4,NCBI:102467342
Unknown,n-TKctt6,NCBI:102467343
Unknown,n-TKctt9,NCBI:102467344
Unknown,n-TKctt11,NCBI:102467345
Unknown,n-TKctt13,NCBI:102467346
Unknown,n-TKctt15,NCBI:102467347
Unknown,n-TKctt18,NCBI:102467348
Unknown,n-TKctt21,NCBI:102467349
Unknown,n-TKttt23,NCBI:102467350
Unknown,n-TKctt25,NCBI:102467351
Unknown,n-TKctt28,NCBI:102467352
Unknown,n-TKctt30,NCBI:102467353
Unknown,n-TMcat4,NCBI:102467355
Unknown,n-TMcat7,NCBI:102467356
Unknown,n-TMcat9,NCBI:102467357
Unknown,n-TMcat11,NCBI:102467358
Unknown,n-TMcat14,NCBI:102467359
Unknown,n-TMcat17,NCBI:102467360
Unknown,n-TFgaa2,NCBI:102467361
Unknown,n-TFgaa4,NCBI:102467362
Unknown,n-TFgaa7,NCBI:102467363
Unknown,n-TPagg2,NCBI:102467364
Unknown,n-TPagg3,NCBI:102467365
Unknown,n-TPagg5,NCBI:102467366
Unknown,n-TPagg7,NCBI:102467367
Unknown,n-TPtgg1,NCBI:102467368
Unknown,n-TPtgg5,NCBI:102467370
Unknown,n-TPtgg8,NCBI:102467371
Unknown,n-TSaga3,NCBI:102467372
Unknown,n-TSaga7,NCBI:102467374
Unknown,n-TSaga9,NCBI:102467375
Unknown,n-TScga1,NCBI:102467376
Unknown,n-TScga3,NCBI:102467377
Unknown,n-TSgct3,NCBI:102467378
Unknown,n-TSgct4,NCBI:102467379
Unknown,n-TSgct6,NCBI:102467380
Unknown,n-TSgct8,NCBI:102467381
Unknown,n-TStga1,NCBI:102467382
Unknown,n-Tsta1,NCBI:102467383
Unknown,n-TTagt2,NCBI:102467384
Unknown,n-TTagt6,NCBI:102467386
Unknown,n-TTagt9,NCBI:102467387
Unknown,n-TTcgt3,NCBI:102467388
Unknown,n-TTcgt5,NCBI:102467389
Unknown,n-TTtgt2,NCBI:102467390
Unknown,n-TWcca1,NCBI:102467391
Unknown,n-TWcca3,NCBI:102467392
Unknown,n-TWcca5,NCBI:102467393
Unknown,n-TWcca7,NCBI:102467394
Unknown,n-TYgta2,NCBI:102467395
Unknown,n-TYgta4,NCBI:102467396
Unknown,n-TYgta6,NCBI:102467397
Unknown,n-TYgta9,NCBI:102467398
Unknown,n-TVaac2,NCBI:102467399
Unknown,n-TVaac4,NCBI:102467400
Unknown,n-TVaac6,NCBI:102467401
Unknown,n-TVaac8,NCBI:102467402
Unknown,n-TVcac2,NCBI:102467403
Unknown,n-TVcac4,NCBI:102467404
Unknown,n-TVcac6,NCBI:102467405
Unknown,n-TVcac8,NCBI:102467406
Unknown,n-TVcac10,NCBI:102467407
Unknown,n-TVgac1,NCBI:102467408
